标签,疾病名字,top3,top5,top8,top10,备注：该类别训练样本数
2807.0,晚期产后出血,0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),19
2808.0,晚期人工流产,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
2809.0,晚期人工流产(计划生育),0.37(10/27),0.37(10/27),0.55(15/27),0.55(15/27),3
2810.0,晚期先兆流产,0.26(7/26),0.34(9/26),0.42(11/26),0.42(11/26),64
2811.0,晚期医疗性流产,0.25(7/28),0.25(7/28),0.25(7/28),0.25(7/28),29
2812.0,晚期完全自然流产,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),1
2813.0,晚期自然流产,0.12(4/33),0.12(4/33),0.12(4/33),0.18(6/33),16
2814.0,晚期难免流产,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),19
2815.0,晶状体不全脱位,0.66(16/24),0.66(16/24),1.0(24/24),1.0(24/24),3
2816.0,晶状体相关性葡萄膜炎,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
2817.0,晶状体脱位,0.0(0/40),0.0(0/40),0.0(0/40),0.0(0/40),9
2818.0,晶状体脱位性青光眼,0.0(0/30),1.0(30/30),1.0(30/30),1.0(30/30),1
2819.0,暴发性1型糖尿病,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
2820.0,暴发性心肌炎,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),3
2821.0,曲霉球,0.52(19/36),0.52(19/36),0.83(30/36),0.83(30/36),4
2822.0,曲霉菌病,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),2
2823.0,更年期关节炎,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),4
2824.0,更年期综合征,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),6
2825.0,更换心脏起搏器,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),157
2826.0,月经不规则出血,0.4(10/25),0.4(10/25),0.6(15/25),0.76(19/25),5
2827.0,月经稀少,0.0(0/40),0.0(0/40),0.0(0/40),0.0(0/40),1
2828.0,月经紊乱,0.07(2/27),0.07(2/27),0.22(6/27),0.22(6/27),13
2829.0,月经过多,0.27(10/37),0.27(10/37),0.27(10/37),0.27(10/37),5
2830.0,有机溶剂中毒,0.59(19/32),0.59(19/32),1.0(32/32),1.0(32/32),3
2831.0,有机磷中毒,0.43(10/23),0.43(10/23),0.56(13/23),0.73(17/23),19
2832.0,朗格汉斯细胞的组织细胞增多症,0.38(12/31),0.38(12/31),0.38(12/31),0.38(12/31),2
2833.0,朗格汉斯细胞组织细胞增生症,0.69(18/26),0.69(18/26),0.69(18/26),0.69(18/26),16
2834.0,未知病毒的流感性感冒,0.0(0/40),0.05(2/40),0.05(2/40),0.05(2/40),23
2835.0,未知病毒的流感性肺炎,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
2836.0,末梢神经病[末梢神经炎],0.55(21/38),0.55(21/38),0.55(21/38),0.55(21/38),2
2837.0,末端性回肠炎,0.40(13/32),0.40(13/32),0.40(13/32),0.40(13/32),2
2838.0,机化性肺炎,0.04(1/25),0.12(3/25),0.2(5/25),0.28(7/25),334
2839.0,机械性肠梗阻,0.36(11/30),0.56(17/30),0.56(17/30),0.56(17/30),9
2840.0,机械瓣膜置换术后瓣周漏,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
2841.0,杀虫剂中毒,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
2842.0,杀鼠剂中毒,0.25(7/28),0.32(9/28),0.32(9/28),0.32(9/28),7
2843.0,李斯特菌性脑膜脑炎,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),3
2844.0,极年轻初孕妇的妊娠监督,0.0(0/25),0.36(9/25),0.56(14/25),0.56(14/25),3
2845.0,枕叶出血,1.0(20/20),1.0(20/20),1.0(20/20),1.0(20/20),19
2846.0,枕叶恶性肿瘤,0.46(18/39),0.46(18/39),0.46(18/39),0.46(18/39),2
2847.0,枕叶脓肿,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
2848.0,枕大神经痛,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),3
2849.0,枕神经痛,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
2850.0,枕骨大孔疝[小脑扁桃体疝],1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
2851.0,枕骨良性肿瘤,0.0(0/31),0.0(0/31),1.0(31/31),1.0(31/31),1
2852.0,枕骨骨折,0.0(0/34),0.0(0/34),0.38(13/34),0.38(13/34),3
2853.0,枢椎骨折,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
2854.0,染发性皮炎,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),4
2855.0,染料过敏性接触性皮炎,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
2856.0,核性老年性白内障,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),15
2857.0,核硬化性白内障,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),8
2858.0,桡动静脉瘘,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),5
2859.0,桡尺骨骨干骨折,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),7
2860.0,桡神经损害,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),3
2861.0,桡神经麻痹,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
2862.0,桡骨头骨折,0.02(1/36),0.02(1/36),0.02(1/36),0.02(1/36),19
2863.0,桡骨干骨折,0.17(5/29),0.24(7/29),0.41(12/29),0.41(12/29),7
2864.0,桡骨良性肿瘤,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
2865.0,桡骨近端骨折,0.0(0/43),0.0(0/43),0.0(0/43),0.0(0/43),8
2866.0,桡骨远端骨折,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),267
2867.0,桡骨颈骨折,0.44(13/29),0.44(13/29),0.44(13/29),0.44(13/29),2
2868.0,桡骨骨折,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),37
2869.0,桥本氏病(自身免疫性甲状腺炎),0.30(8/26),0.30(8/26),0.42(11/26),0.42(11/26),10
2870.0,桥脑岀血,0.60(17/28),0.60(17/28),0.60(17/28),0.78(22/28),9
2871.0,桥脑脑膜瘤,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
2872.0,桥脑良性肿瘤,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
2873.0,梅尼埃病,0.44(16/36),0.44(16/36),0.63(23/36),0.63(23/36),13
2874.0,梅毒,0.43(16/37),0.43(16/37),0.43(16/37),0.43(16/37),2
2875.0,梅热睑痉挛[Meige综合征],1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
2876.0,梗阻性无精子症,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),9
2877.0,梗阻性脑积水[非交通性脑积水],0.5(14/28),1.0(28/28),1.0(28/28),1.0(28/28),2
2878.0,梗阻性黄疸,0.03(1/32),0.03(1/32),0.03(1/32),0.03(1/32),75
2879.0,梨状窝息肉,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
2880.0,梨状窝恶性肿瘤,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
2881.0,梨状肌综合征,0.85(24/28),0.85(24/28),0.85(24/28),1.0(28/28),3
2882.0,棉尘病,1.0(41/41),1.0(41/41),1.0(41/41),1.0(41/41),1
2883.0,棉霄沉着病,1.0(37/37),1.0(37/37),1.0(37/37),1.0(37/37),3
2884.0,棕色白内障,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
2885.0,棘球蚴病[包虫病],0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),2
2886.0,植入装置后感染,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),3
2887.0,植物神经功能紊乱,0.36(11/30),0.4(12/30),0.5(15/30),0.5(15/30),22
2888.0,椎-基底动脉供血不全,0.0(0/33),0.0(0/33),0.03(1/33),0.06(2/33),2096
2889.0,椎-基底动脉综合征,0.6(12/20),1.0(20/20),1.0(20/20),1.0(20/20),3
2890.0,椎体感染,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),6
2891.0,椎体继发恶性肿瘤,0.0(0/29),0.10(3/29),0.10(3/29),0.13(4/29),36
2892.0,椎动脉与基底动脉结合部动脉瘤破裂伴蛛网膜下腔岀血,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
2893.0,椎动脉动脉瘤,0.37(9/24),0.37(9/24),0.54(13/24),0.75(18/24),11
2894.0,椎动脉型颈椎病,1.0(37/37),1.0(37/37),1.0(37/37),1.0(37/37),1
2895.0,椎动脉夹层,1.0(41/41),1.0(41/41),1.0(41/41),1.0(41/41),1
2896.0,椎动脉狭窄,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),191
2897.0,椎动脉瘤,0.60(17/28),0.60(17/28),0.60(17/28),0.60(17/28),2
2898.0,椎动脉闭塞,0.33(11/33),0.48(16/33),0.48(16/33),0.48(16/33),8
2899.0,椎动脉闭塞[Avellis综合征],1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
2900.0,椎动脉闭塞或狭窄性脑梗死,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
2901.0,椎基底动脉迂曲,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
2902.0,椎旁脓肿,0.5(15/30),0.5(15/30),0.5(15/30),0.5(15/30),2
2903.0,椎管内交界性肿瘤,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),1
2904.0,椎管内占位性病变,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),5
2905.0,椎管内囊肿,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
2906.0,椎管内外占位性病变,0.72(21/29),0.72(21/29),0.72(21/29),0.72(21/29),3
2907.0,椎管内恶性肿瘤,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
2908.0,椎管内继发恶性肿瘤,0.0(0/32),0.0(0/32),0.0(0/32),0.5(16/32),2
2909.0,椎管内脂肪瘤,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),2
2910.0,椎管内脓肿,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
2911.0,椎管内良性肿瘤,0.32(9/28),0.60(17/28),0.60(17/28),0.60(17/28),11
2912.0,椎管内蛛网膜囊肿,1.0(37/37),1.0(37/37),1.0(37/37),1.0(37/37),1
2913.0,椎管内血管瘤,0.64(22/34),0.64(22/34),0.64(22/34),0.64(22/34),2
2914.0,椎管狭窄,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
2915.0,椎间孔骨性狭窄,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
2916.0,椎间盘变性,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
2917.0,椎间盘源性腰痛,0.0(0/31),0.32(10/31),0.48(15/31),0.48(15/31),11
2918.0,椎骨恶性肿瘤,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
2919.0,椎骨病变,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),1
2920.0,横纹肌溶解,0.4(12/30),0.4(12/30),0.4(12/30),0.4(12/30),9
2921.0,横结肠恶性肿瘤,0.07(2/28),0.07(2/28),0.10(3/28),0.10(3/28),78
2922.0,横结肠损伤,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
2923.0,横结肠良性肿瘤,0.08(2/25),0.08(2/25),0.12(3/25),0.12(3/25),129
2924.0,次大面积肺栓塞,0.83(26/31),0.83(26/31),0.83(26/31),0.83(26/31),11
2925.0,正中神经损害,0.0(0/27),1.0(27/27),1.0(27/27),1.0(27/27),1
2926.0,正常分娩,0.54(13/24),0.62(15/24),0.87(21/24),0.91(22/24),40
2927.0,正常压力脑积水,0.62(18/29),0.62(18/29),1.0(29/29),1.0(29/29),3
2928.0,正确用药所致类固醇性糖尿病,0.87(21/24),0.87(21/24),0.87(21/24),0.87(21/24),6
2929.0,残余囊肿,0.0(0/33),0.0(0/33),0.0(0/33),1.0(33/33),1
2930.0,残余性中耳炎,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
2931.0,残余胆囊结石,0.77(17/22),1.0(22/22),1.0(22/22),1.0(22/22),4
2932.0,残留牙根,0.0(0/28),0.0(0/28),0.0(0/28),0.0(0/28),2
2933.0,残胃恶性肿瘤,0.66(18/27),0.66(18/27),0.66(18/27),0.66(18/27),9
2934.0,残胃炎,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),3
2935.0,残胃炎伴出血,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
2936.0,毒性弥漫性甲状腺肿[格雷夫斯病Grave’s病],0.67(19/28),0.67(19/28),0.67(19/28),0.67(19/28),6
2937.0,毛发上皮瘤,0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),1
2938.0,毛发囊肿,0.0(0/27),0.0(0/27),0.33(9/27),0.33(9/27),13
2939.0,毛囊炎,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),1
2940.0,毛囊闭锁三联征,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
2941.0,毛根鞘囊肿,0.0(0/29),0.0(0/29),0.0(0/29),0.0(0/29),29
2942.0,毛母质瘤,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),3
2943.0,毛细胞白血病,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
2944.0,毛细血管性血管瘤,0.55(20/36),0.55(20/36),0.55(20/36),0.55(20/36),2
2945.0,毛细血管扩张性环状紫瘢,1.0(18/18),1.0(18/18),1.0(18/18),1.0(18/18),2
2946.0,毛细血管扩张症,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),5
2947.0,毛霉菌病,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
2948.0,气性坏疽,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
2949.0,气短,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),2
2950.0,气管内异物,0.45(14/31),0.45(14/31),0.45(14/31),0.51(16/31),13
2951.0,气管切开术后拔管困难,0.90(37/41),0.90(37/41),0.90(37/41),0.90(37/41),25
2952.0,气管切开术后气道阻塞,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),3
2953.0,气管套管拔除,0.03(1/26),0.03(1/26),0.03(1/26),0.15(4/26),8
2954.0,气管息肉,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
2955.0,气管恶性肿瘤,0.38(13/34),0.38(13/34),0.38(13/34),0.38(13/34),19
2956.0,气管支气管巨大症,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),2
2957.0,气管支气管炎,0.61(19/31),0.61(19/31),0.64(20/31),0.74(23/31),11
2958.0,气管支气管继发恶性肿瘤,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
2959.0,气管支气管肥大症,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),2
2960.0,气管支气管软骨骨形成症,0.0(0/39),0.0(0/39),0.0(0/39),0.43(17/39),2
2961.0,气管炎,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
2962.0,气管狭窄,0.65(19/29),0.65(19/29),0.75(22/29),0.75(22/29),13
2963.0,气管瘢痕,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
2964.0,气管继发恶性肿瘤,0.55(16/29),0.55(16/29),0.55(16/29),0.55(16/29),4
2965.0,气管肉芽肿,0.6(18/30),0.6(18/30),0.6(18/30),0.6(18/30),5
2966.0,气管肿物,0.03(1/32),0.18(6/32),0.18(6/32),0.18(6/32),27
2967.0,气管良性肿瘤,0.3(9/30),0.43(13/30),0.43(13/30),0.43(13/30),7
2968.0,气管造口术后气管食管瘘,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),3
2969.0,气管造口术机能障碍,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),3
2970.0,气管造口维护,0.0(0/37),0.0(0/37),0.0(0/37),0.0(0/37),3
2971.0,气管造瘘口狭窄,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),1
2972.0,气胸,0.44(12/27),0.55(15/27),0.55(15/27),0.55(15/27),60
2973.0,氧化氮类中毒,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
2974.0,氨基甲酸酯杀虫剂中毒,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),1
2975.0,氨气中毒,0.93(28/30),0.93(28/30),0.93(28/30),0.93(28/30),20
2976.0,氯丙嗪中毒,0.5(18/36),0.5(18/36),0.5(18/36),0.5(18/36),3
2977.0,氯气中毒,0.88(24/27),0.88(24/27),0.88(24/27),0.88(24/27),12
2978.0,水泥尘肺,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),2
2979.0,水痘,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
2980.0,水肿,0.65(23/35),0.65(23/35),0.65(23/35),0.65(23/35),7
2981.0,永存原始玻璃体增生症,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),2
2982.0,汗腺腺瘤,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
2983.0,汞中毒,0.1(3/30),0.1(3/30),0.13(4/30),0.13(4/30),323
2984.0,汞化合物中毒,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
2985.0,汽油中毒,0.97(35/36),0.97(35/36),1.0(36/36),1.0(36/36),13
2986.0,沙门菌脓毒血症,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
2987.0,沙门菌败血症,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),3
2988.0,治疗后的随诊检查,0.38(12/31),0.38(12/31),0.41(13/31),0.41(13/31),6
2989.0,泌尿器官移植物引起的机械性并发症,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),1
2990.0,泌尿生殖系疾病的特殊筛查,0.0(0/39),1.0(39/39),1.0(39/39),1.0(39/39),1
2991.0,泌尿生殖道内异物,0.0(0/41),0.0(0/41),0.0(0/41),0.0(0/41),1
2992.0,泌尿系假体装置植入物和移植物引起的感染,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
2993.0,泌尿系感染,0.06(2/31),0.09(3/31),0.16(5/31),0.16(5/31),496
2994.0,泌尿系支架引起的机械性并发症,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
2995.0,泌尿系电子刺激装置引起的机械性并发症,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
2996.0,泌尿系结核,0.85(18/21),1.0(21/21),1.0(21/21),1.0(21/21),7
2997.0,泌尿系结石,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),4
2998.0,法洛四联症,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
2999.0,法特壶腹交界性肿瘤,1.0(39/39),1.0(39/39),1.0(39/39),1.0(39/39),1
3000.0,法特壶腹周围恶性肿瘤,0.8(20/25),0.8(20/25),0.8(20/25),0.8(20/25),8
3001.0,法特壶腹恶性肿瘤,0.06(2/32),0.06(2/32),0.09(3/32),0.12(4/32),49
3002.0,泛发性带状疱疹,0.72(24/33),0.72(24/33),0.81(27/33),0.81(27/33),9
3003.0,泛发性湿疹,0.85(23/27),0.85(23/27),0.88(24/27),0.96(26/27),126
3004.0,泛发性神经性皮炎,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
3005.0,泡性中鼻甲,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
3006.0,泪囊囊肿,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
3007.0,泪囊炎,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),3
3008.0,泪囊粘液囊肿,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
3009.0,泪腺囊肿,0.0(0/40),0.0(0/40),0.0(0/40),0.0(0/40),2
3010.0,泪腺炎,0.53(15/28),0.53(15/28),0.53(15/28),0.53(15/28),2
3011.0,泪腺肿物,0.70(19/27),0.70(19/27),1.0(27/27),1.0(27/27),2
3012.0,泪腺脱垂,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),1
3013.0,泪道阻塞,0.0(0/25),0.28(7/25),0.48(12/25),0.6(15/25),44
3014.0,活跃期停滞,0.0(0/30),0.03(1/30),0.03(1/30),0.06(2/30),112
3015.0,活跃期延长,0.47(16/34),0.47(16/34),0.47(16/34),0.47(16/34),2
3016.0,流产后出血,0.07(2/27),0.11(3/27),0.11(3/27),0.11(3/27),13
3017.0,流产后肾衰竭,0.0(0/30),0.0(0/30),0.0(0/30),1.0(30/30),1
3018.0,流产后腹痛,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
3019.0,流感嗜血杆菌性肺炎,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),2
3020.0,流感杆菌感染,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
3021.0,流行性乙型脑炎后遗症,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),2
3022.0,流行性乙型脑炎极重型,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
3023.0,流行性出血热[肾综合征出血热],1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),3
3024.0,流行性腮腺炎性睾丸炎,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),2
3025.0,浅昏迷,1.0(34/34),1.0(34/34),1.0(34/34),1.0(34/34),1
3026.0,浆细胞增多,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),2
3027.0,浆细胞性乳腺炎,0.19(6/31),0.19(6/31),0.32(10/31),0.32(10/31),10
3028.0,浆细胞病,0.17(5/29),0.17(5/29),0.17(5/29),0.17(5/29),5
3029.0,浆细胞瘤,0.41(12/29),0.41(12/29),0.41(12/29),0.55(16/29),20
3030.0,浆细胞白血病,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),2
3031.0,浆细胞骨髓瘤[浆细胞瘤],0.29(9/31),0.48(15/31),0.54(17/31),0.61(19/31),52
3032.0,海绵体恶性肿瘤,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
3033.0,海绵状淋巴管瘤,0.0(0/24),0.0(0/24),0.0(0/24),0.0(0/24),1
3034.0,海绵窦动静脉瘘,1.0(38/38),1.0(38/38),1.0(38/38),1.0(38/38),1
3035.0,浸润型肺结核,0.76(20/26),0.84(22/26),0.88(23/26),0.88(23/26),46
3036.0,消化不良,0.96(24/25),0.96(24/25),0.96(24/25),0.96(24/25),9
3037.0,消化性溃疡,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),5
3038.0,消化性溃疡伴出血,1.0(19/19),1.0(19/19),1.0(19/19),1.0(19/19),6
3039.0,消化性溃疡伴穿孔,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),2
3040.0,消化道内异物,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),1
3041.0,消化道出血,0.12(4/31),0.19(6/31),0.32(10/31),0.32(10/31),39
3042.0,消化道烧伤,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
3043.0,消化道疾病的特殊筛查,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),1
3044.0,消化道病变,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
3045.0,消瘦,0.34(11/32),0.34(11/32),0.62(20/32),0.62(20/32),3
3046.0,液性气胸,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
3047.0,液气胸,0.51(16/31),0.61(19/31),0.61(19/31),0.61(19/31),25
3048.0,淀粉样变性,0.48(17/35),0.62(22/35),0.62(22/35),0.62(22/35),13
3049.0,淋巴样肉芽肿病,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
3050.0,淋巴水肿,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),3
3051.0,淋巴浆细胞淋巴瘤,0.0(0/36),0.0(0/36),0.0(0/36),0.41(15/36),2
3052.0,淋巴瘤,0.25(7/28),0.28(8/28),0.28(8/28),0.28(8/28),20
3053.0,淋巴管炎,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),1
3054.0,淋巴管瘘,1.0(39/39),1.0(39/39),1.0(39/39),1.0(39/39),1
3055.0,淋巴管瘤,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
3056.0,淋巴组织增生,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
3057.0,淋巴细胞增殖性疾病,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),3
3058.0,淋巴细胞性间质性肺炎,0.53(17/32),0.53(17/32),0.53(17/32),0.53(17/32),2
3059.0,淋巴结反应性增生,0.12(4/33),0.12(4/33),0.12(4/33),0.12(4/33),21
3060.0,淋巴结炎,0.26(8/30),0.26(8/30),0.26(8/30),0.26(8/30),6
3061.0,淋巴结病,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),1
3062.0,淋巴结结核,0.51(14/27),0.77(21/27),0.77(21/27),0.77(21/27),5
3063.0,淋巴结结节病,0.35(11/31),0.35(11/31),0.35(11/31),0.35(11/31),3
3064.0,淋巴结继发恶性肿瘤,0.42(15/35),0.42(15/35),0.42(15/35),0.42(15/35),4
3065.0,淋巴结肿大,0.31(10/32),0.31(10/32),0.31(10/32),0.31(10/32),16
3066.0,淡漠,0.45(17/37),0.45(17/37),0.45(17/37),0.45(17/37),2
3067.0,淤积性皮炎,0.35(7/20),0.35(7/20),0.35(7/20),1.0(20/20),3
3068.0,淤积性胆管炎,0.8(20/25),0.8(20/25),0.8(20/25),0.8(20/25),11
3069.0,深昏迷,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),2
3070.0,混合型青光眼,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
3071.0,混合型颈椎病,0.24(10/41),0.24(10/41),0.39(16/41),0.39(16/41),9
3072.0,混合性周围神经病,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),6
3073.0,混合性气体中毒,0.30(10/33),0.30(10/33),0.30(10/33),0.42(14/33),21
3074.0,混合性焦虑和抑郁障碍,0.4(10/25),0.4(10/25),0.4(10/25),0.52(13/25),36
3075.0,混合性睡眠呼吸暂停低通气综合征,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),4
3076.0,混合性结缔组织病,0.23(9/38),0.23(9/38),0.23(9/38),0.23(9/38),14
3077.0,混合性聋[传导性和感音神经性聋],1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),4
3078.0,混合性贫血,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
3079.0,混合痔,0.76(20/26),0.76(20/26),0.80(21/26),0.80(21/26),956
3080.0,混合细胞型经典霍奇金淋巴瘤,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
3081.0,渗出性老年性黄斑变性,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),6
3082.0,渗出性胸膜炎,0.20(9/44),0.20(9/44),0.20(9/44),0.20(9/44),4
3083.0,渗出性视网膜脱离,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),1
3084.0,湿疹,0.23(8/34),0.29(10/34),0.41(14/34),0.47(16/34),30
3085.0,溃疡性(慢性)直肠乙状结肠炎,0.4(14/35),0.4(14/35),0.4(14/35),0.4(14/35),3
3086.0,溃疡性直肠炎,0.53(14/26),0.53(14/26),0.53(14/26),0.53(14/26),2
3087.0,溃疡性结肠炎,0.23(9/38),0.23(9/38),0.34(13/38),0.34(13/38),98
